x,y_pred,y_real,y_diff,y_diff_absolute,percentage_error,absolute_percentage_error
0,0.6636049504720702,0.0,0.6636049504720702,0.6636049504720702,-inf,inf
1,2.341978820544937,1.7102508075688767,0.6317280129760603,0.6317280129760603,-36.937740954735304,36.937740954735304
2,3.977482530487948,3.3769016151377533,0.6005809153501946,0.6005809153501946,-17.784969294277033,17.784969294277033
3,5.570116080301103,4.99995242270663,0.5701636575944731,0.5701636575944731,-11.403381660296393,11.403381660296393
4,7.1198794699844035,6.579403230275507,0.5404762397088962,0.5404762397088962,-8.214669640885717,8.214669640885717
5,8.626772699537847,8.115254037844384,0.5115186616934633,0.5115186616934633,-6.303174975275764,6.303174975275764
6,10.090795768961437,9.607504845413262,0.48329092354817504,0.48329092354817504,-5.030347955316452,5.030347955316452
7,11.511948678255168,11.056155652982138,0.4557930252730298,0.4557930252730298,-4.1225272108944155,4.1225272108944155
8,12.890231427419046,12.461206460551015,0.42902496686803104,0.42902496686803104,-3.4428846695238864,3.4428846695238864
9,14.225644016453069,13.822657268119892,0.40298674833317705,0.40298674833317705,-2.9154072224782133,2.9154072224782133
10,15.518186445357234,15.140508075688768,0.377678369668466,0.377678369668466,-2.494489404057101,2.494489404057101
11,16.767858714131545,16.414758883257647,0.35309983087389796,0.35309983087389796,-2.1511118950034938,2.1511118950034938
12,17.974660822776002,17.645409690826522,0.32925113194947997,0.32925113194947997,-1.865930787204395,1.865930787204395
13,19.1385927712906,18.8324604983954,0.3061322728952014,0.3061322728952014,-1.6255564317858788,1.6255564317858788
14,20.259654559675344,19.975911305964278,0.2837432537110658,0.2837432537110658,-1.420427080222105,1.420427080222105
15,21.337846187930232,21.075762113533155,0.2620840743970767,0.2620840743970767,-1.2435330830992224,1.2435330830992224
16,22.373167656055266,22.13201292110203,0.24115473495323414,0.24115473495323414,-1.0896195290185389,1.0896195290185389
17,23.36561896405044,23.144663728670906,0.22095523537953454,0.22095523537953454,-0.9546703204238907,0.9546703204238907
18,24.315200111915765,24.113714536239783,0.20148557567598147,0.20148557567598147,-0.8355642403130168,0.8355642403130168
19,25.22191109965123,25.039165343808662,0.1827457558425678,0.1827457558425678,-0.7298396465429893,0.7298396465429893
20,26.08575192725684,25.92101615137754,0.16473577587930066,0.16473577587930066,-0.6355297759827443,0.6355297759827443
21,26.906722594732592,26.759266958946412,0.14745563578618004,0.14745563578618004,-0.5510451239654801,0.5510451239654801
22,27.68482310207849,27.553917766515298,0.13090533556319173,0.13090533556319173,-0.4750879227863324,0.4750879227863324
23,28.420053449294542,28.30496857408417,0.11508487521037125,0.11508487521037125,-0.4065889524277449,0.4065889524277449
24,29.11241363638073,29.012419381653046,0.09999425472768309,0.09999425472768309,-0.34466017263943777,0.34466017263943777
25,29.76190366333706,29.676270189221924,0.08563347411513433,0.08563347411513433,-0.2885587493614188,0.2885587493614188
26,30.368523530163536,30.296520996790797,0.07200253337273921,0.07200253337273921,-0.23765941106032004,0.23765941106032004
27,30.932273236860155,30.87317180435968,0.05910143250047639,0.05910143250047639,-0.19143297901166906,0.19143297901166906
28,31.45315278342692,31.40622261192856,0.046930171498360096,0.046930171498360096,-0.14942953209704152,0.14942953209704152
29,31.931162169863835,31.89567341949743,0.03548875036640453,0.03548875036640453,-0.11126509197548623,0.11126509197548623
30,32.36630139617089,32.341524227066316,0.02477716910457417,0.02477716910457417,-0.07661101230299588,0.07661101230299588
31,32.75857046234809,32.74377503463519,0.014795427712897435,0.014795427712897435,-0.0451854671529088,0.0451854671529088
32,33.10796936839543,33.10242584220407,0.005543526191360115,0.005543526191360115,-0.016746585938400848,0.016746585938400848
33,33.41449811431291,33.417476649772944,-0.0029785354600306846,0.0029785354600306846,0.008913107028537185,0.008913107028537185
34,33.67815670010055,33.68892745734182,-0.010770757241267859,0.010770757241267859,0.03197120850732394,0.03197120850732394
35,33.898945125758324,33.916778264910704,-0.01783313915237983,0.01783313915237983,0.05257910705165492,0.05257910705165492
36,34.076863391286246,34.10102907247958,-0.024165681193331068,0.024165681193331068,0.07086496170531524,0.07086496170531524
37,34.211911496684316,34.24167988004845,-0.029768383364135786,0.029768383364135786,0.08693610672261698,0.08693610672261698
38,34.30408944195252,34.33873068761733,-0.034641245664808196,0.034641245664808196,0.1008809730911223,0.1008809730911223
39,34.35339722709087,34.39218149518621,-0.038784268095334085,0.038784268095334085,0.11277059613320145,0.11277059613320145
40,34.359834852099375,34.40203230275509,-0.04219745065571345,0.04219745065571345,0.12265976115700021,0.12265976115700021
41,34.32340231697802,34.36828311032397,-0.04488079334595341,0.04488079334595341,0.13058782483222606,0.13058782483222606
42,34.244099621726804,34.290933917892836,-0.04683429616603263,0.04683429616603263,0.13657923776055203,0.13657923776055203
43,34.12192676634573,34.16998472546172,-0.04805795911598665,0.04805795911598665,0.14064378284657622,0.14064378284657622
44,33.956883750834805,34.00543553303061,-0.04855178219580125,0.04855178219580125,0.14277653391217793,0.14277653391217793
45,33.74897057519404,33.79728634059948,-0.04831576540543381,0.04831576540543381,0.14295752895223957,0.14295752895223957
46,33.49818723942341,33.54553714816835,-0.04734990874494116,0.04734990874494116,0.14115114191136616,0.14115114191136616
47,33.204533743522916,33.250187955737225,-0.0456542122143091,0.0456542122143091,0.13730512523743973,0.13730512523743973
48,32.86801008749257,32.91123876330611,-0.04322867581353762,0.04322867581353762,0.13134928200191232,0.13134928200191232
49,32.48861627133237,32.52868957087499,-0.04007329954261962,0.04007329954261962,0.12319371014103134,0.12319371014103134
